parking_spot_id,vehicle_weight
1,0
2,0
3,2419
4,0
5,0
6,3452
7,0
8,2785
9,2291
10,0
11,0
12,2317
13,0
14,2119
15,0
16,0
17,0
18,0
19,1564
20,0
21,0
22,0
23,0
24,0
25,932
26,0
27,1554
28,0
29,0
30,0
31,3247
32,3258
33,2832
34,2056
35,0
36,3337
37,3496
38,1462
39,0
40,2474
41,0
42,2332
43,1964
44,2479
45,0
46,0
47,1055
48,1639
49,0
50,3156
51,3311
52,1125
53,0
54,3023
55,0
56,1040
57,3113
58,0
59,2154
60,0
61,0
62,1957
63,924
64,0
65,2059
66,1538
67,1235
68,2184
69,0
70,3061
71,0
72,0
73,0
74,0
75,1634
76,0
77,3162
78,2281
79,0
80,2582
81,2416
82,0
83,2995
84,0
85,2932
86,3343
87,0
88,2909
89,2074
90,2153
91,0
92,1026
93,0
94,2185
95,0
96,0
97,2341
98,1288
99,0
100,0
101,2168
102,1079
103,1329
104,0
105,2759
106,3455
107,3039
108,1536
109,3359
110,2251
111,0
112,0
113,0
114,2348
115,2077
116,0
117,3130
118,1690
119,1499
120,0
121,3048
122,0
123,1762
124,975
125,0
126,3267
127,0
128,817
129,0
130,0
131,1059
132,2961
133,1040
134,3068
135,0
136,0
137,1188
138,2086
139,0
140,0
141,0
142,0
143,1007
144,0
145,0
146,1637
147,0
148,0
149,2358
150,1719
151,0
152,2662
153,1863
154,0
155,0
156,0
157,0
158,0
159,0
160,1042
161,1943
162,3433
163,0
164,2499
165,1723
166,966
167,2157
168,0
169,0
170,2124
171,0
172,2281
173,1895
174,1433
175,0
176,0
177,1884
178,0
179,1937
180,0
181,2477
182,0
183,0
184,2847
185,0
186,0
187,0
188,3329
189,2626
190,1665
191,0
192,0
193,2951
194,1849
195,0
196,1328
197,866
198,2535
199,1356
200,0
201,0
202,0
203,0
204,1159
205,1459
206,963
207,0
208,1548
209,0
210,3368
211,3485
212,1212
213,0
214,3305
215,0
216,0
217,2545
218,2051
219,2887
220,0
221,0
222,1510
223,1967
224,0
225,0
226,0
227,0
228,1254
229,1702
230,1167
231,0
232,0
233,0
234,0
235,0
236,3086
237,0
238,3324
239,3200
240,0
241,0
242,0
243,0
244,0
245,0
246,2351
247,0
248,0
249,0
250,2767
251,0
252,2977
253,0
254,0
255,897
256,0
257,2713
258,0
259,0
260,0
261,3338
262,0
263,806
264,3452
265,2048
266,2294
267,944
268,0
269,0
270,1338
271,1885
272,1640
273,1832
274,0
275,3456
276,1599
277,0
278,0
279,2545
280,0
281,0
282,0
283,3334
284,0
285,2847
286,0
287,2277
288,3004
289,2422
290,2973
291,0
292,0
293,0
294,1837
295,2714
296,1719
297,3082
298,0
299,1878
300,2478
301,1872
302,0
303,1901
304,1228
305,2417
306,1312
307,0
308,1358
309,0
310,1968
311,0
312,0
313,3360
314,0
315,0
316,0
317,3095
318,1546
319,2399
320,2681
321,0
322,0
323,828
324,0
325,2573
326,1356
327,3394
328,0
329,1317
330,1544
331,2837
332,0
333,0
334,1596
335,0
336,0
337,0
338,1548
339,0
340,0
341,0
342,0
343,853
344,0
345,0
346,0
347,1066
348,0
349,0
350,1928
351,0
352,0
353,0
354,2917
355,1669
356,0
357,0
358,0
359,2514
360,2188
361,0
362,3297
363,0
364,1782
365,2267
366,0
367,0
368,2904
369,1225
370,0
371,2641
372,1693
373,2636
374,0
375,0
376,0
377,1274
378,0
379,0
380,0
381,0
382,1998
383,0
384,1270
385,0
386,2648
387,2178
388,0
389,1346
390,0
391,2936
392,0
393,2846
394,1840
395,3112
396,3337
397,0
398,0
399,1464
400,2786
401,0
402,1421
403,2470
404,1459
405,0
406,0
407,1489
408,1584
409,1716
410,0
411,0
412,1363
413,0
414,2743
415,3233
416,0
417,0
418,0
419,1313
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,2810
428,2518
429,0
430,1832
431,0
432,1354
433,3228
434,1756
435,0
436,0
437,1034
438,0
439,0
440,0
441,0
442,1416
443,1669
444,0
445,0
446,1928
447,0
448,2535
449,1641
450,2381
451,2136
452,3158
453,3049
454,0
455,0
456,0
457,2638
458,0
459,0
460,2158
461,0
462,832
463,2837
464,2630
465,0
466,2714
467,0
468,0
469,857
470,0
471,0
472,0
473,1564
474,2435
475,2460
476,2941
477,0
478,1903
479,3064
480,1021
481,0
482,0
483,1189
484,874
485,0
486,3144
487,0
488,0
489,0
490,1773
491,0
492,1098
493,0
494,0
495,2026
496,3257
497,2329
498,0
499,0
500,0
