parking_spot_id,vehicle_weight
1,0
2,0
3,0
4,0
5,1760
6,1219
7,0
8,0
9,3173
10,2723
11,969
12,830
13,3385
14,0
15,0
16,0
17,0
18,1690
19,0
20,3420
21,0
22,1388
23,1809
24,1479
25,3120
26,0
27,1157
28,0
29,3124
30,0
31,3465
32,3039
33,0
34,0
35,0
36,0
37,2828
38,0
39,3492
40,0
41,0
42,0
43,2367
44,1051
45,0
46,3368
47,0
48,2520
49,0
50,2380
51,0
52,0
53,0
54,0
55,2775
56,0
57,0
58,0
59,2781
60,0
61,3280
62,3208
63,1418
64,0
65,1137
66,0
67,1168
68,1830
69,1976
70,0
71,810
72,2436
73,3396
74,0
75,1497
76,2611
77,1579
78,0
79,2935
80,3149
81,1665
82,1934
83,2714
84,0
85,0
86,1306
87,2950
88,0
89,0
90,0
91,0
92,0
93,3356
94,2436
95,1906
96,2121
97,2052
98,977
99,2451
100,0
101,0
102,3071
103,0
104,1055
105,3157
106,1824
107,2937
108,0
109,0
110,3346
111,0
112,805
113,3196
114,1404
115,2312
116,0
117,1098
118,1465
119,0
120,0
121,2034
122,3343
123,0
124,0
125,1340
126,1740
127,3198
128,0
129,0
130,0
131,0
132,0
133,1193
134,0
135,3405
136,2844
137,0
138,0
139,2977
140,1717
141,0
142,817
143,3026
144,0
145,0
146,0
147,0
148,3184
149,1313
150,947
151,2631
152,0
153,0
154,1186
155,2741
156,2605
157,3061
158,0
159,1949
160,831
161,0
162,0
163,0
164,1972
165,0
166,0
167,0
168,2674
169,0
170,0
171,0
172,3379
173,901
174,0
175,0
176,0
177,0
178,0
179,2083
180,3373
181,1370
182,0
183,1518
184,0
185,0
186,0
187,0
188,1132
189,1520
190,3458
191,3224
192,2812
193,1066
194,3087
195,3136
196,2715
197,2007
198,3195
199,0
200,1995
201,0
202,0
203,0
204,0
205,1730
206,0
207,0
208,0
209,0
210,0
211,1060
212,0
213,0
214,2011
215,0
216,3430
217,1002
218,1090
219,1660
220,0
221,0
222,1595
223,0
224,0
225,0
226,0
227,0
228,1335
229,0
230,1352
231,0
232,0
233,2193
234,1192
235,0
236,1753
237,3386
238,1202
239,2265
240,0
241,2345
242,2766
243,0
244,2005
245,0
246,2265
247,0
248,1401
249,0
250,0
251,3079
252,3492
253,1552
254,0
255,0
256,0
257,0
258,0
259,1086
260,813
261,2570
262,1454
263,0
264,1101
265,0
266,2440
267,0
268,2682
269,0
270,1365
271,0
272,0
273,0
274,3108
275,0
276,0
277,2012
278,0
279,0
280,2727
281,0
282,2589
283,2972
284,2930
285,2063
286,2928
287,2579
288,0
289,3292
290,0
291,0
292,1514
293,927
294,2683
295,0
296,1418
297,0
298,1308
299,2154
300,1586
301,2288
302,0
303,2680
304,2274
305,1763
306,2590
307,0
308,2446
309,0
310,1693
311,0
312,0
313,0
314,1272
315,2237
316,3463
317,2416
318,2957
319,2235
320,2084
321,3011
322,1095
323,0
324,0
325,0
326,0
327,2358
328,2614
329,0
330,0
331,1093
332,0
333,0
334,0
335,0
336,3116
337,825
338,0
339,0
340,2016
341,0
342,0
343,2012
344,856
345,0
346,1345
347,3405
348,1375
349,0
350,0
351,890
352,2426
353,3160
354,1981
355,3230
356,3458
357,2646
358,1416
359,1550
360,0
361,2279
362,0
363,2756
364,2004
365,2940
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,1390
374,2168
375,0
376,0
377,2086
378,2987
379,1390
380,3478
381,3177
382,2235
383,0
384,0
385,0
386,922
387,913
388,2354
389,1143
390,2157
391,0
392,2518
393,0
394,1608
395,1642
396,0
397,3335
398,2318
399,0
400,1224
401,0
402,3382
403,0
404,2448
405,1941
406,0
407,1873
408,1714
409,1829
410,3127
411,0
412,0
413,2494
414,0
415,3320
416,2349
417,2096
418,1779
419,0
420,1587
421,2401
422,2924
423,0
424,1689
425,0
426,0
427,0
428,3354
429,0
430,2699
431,0
432,2956
433,0
434,2284
435,2454
436,0
437,1056
438,0
439,0
440,0
441,1819
442,0
443,993
444,0
445,0
446,2236
447,1627
448,1292
449,0
450,1672
451,1193
452,2068
453,1498
454,1322
455,2072
456,0
457,2639
458,0
459,0
460,2913
461,0
462,0
463,0
464,2822
465,0
466,0
467,801
468,2197
469,0
470,0
471,0
472,1213
473,0
474,0
475,0
476,0
477,1829
478,0
479,1466
480,0
481,0
482,1283
483,0
484,1493
485,3184
486,1083
487,0
488,0
489,1199
490,1866
491,1266
492,2975
493,1606
494,1482
495,2954
496,0
497,0
498,1362
499,1015
500,0
